book_id,book_title,genre_1,genre_2,pages,author_name,author_average_rating
17851860,All Hallows Eve,Young-Adult,Paranormal,232,Chelsea Luna,4.12
17453806,Making Them Happy,Erotica,Science-Fiction,190,Marla Monroe,3.95
35514,Myths of Light: Eastern Metaphors of the Eternal (Collected Work),Fantasy,Nonfiction,224,Joseph Campbell,4.3
23913,The Marriage of Heaven and Hell,Poetry,Classics,82,William Blake,4.17
15764009,Fledge,Science-Fiction,Science-Fiction,388,J.A. Huss,4.18
28107439,Music City Macabre,Fantasy,Horror,197,Bob  Williams,4.27
28820,The Varieties of Religious Experience: A Study in Human Nature,Philosophy,Religion,308,William James,4.01
30847240,Mostly Human,Shapeshifters,Young-Adult,397,D.I. Jolly,4.67
312650,The Individual and the Nature of Mass Events: A Seth Book,Spirituality,Nonfiction,336,Jane Roberts,4.32
16300211,Sean Yeager and the DNA Thief,Science-Fiction,Fantasy,260,D.M. Jarrett,4.33
81281,Demons of the Flesh: The Complete Guide to Left Hand Path Sex Magic,Occult,Fantasy,398,Nikolas Schreck,4.15
18223050,How to Rope a Real Man,Romance,Romance,352,Melissa Cutler,3.99
67377,The Love Poems of Rumi,Poetry,Spirituality,64,Rumi,4.36
40490167,Maus I: A Survivor's Tale: My Father Bleeds History,Sequential-Art,Sequential-Art,159,Art Spiegelman,4.38
43501985,Playing with Demons,Fantasy,See-top-shelves,240,Cally Edwards,4.89
11226469,Southern Comfort,Romance,Adult-Fiction,138,Mari Carr,4.0
39707352,Tempted by Trouble,Romance,Romance,192,Susan Arden,3.79
12363795,Living Violet,Young-Adult,Fantasy,304,Jaime Reed,3.97
6149,Beloved,Fiction,Classics,324,Toni Morrison,3.88
18753339,Soul Cutter,Young-Adult,Horror,300,Lexa Cain,4.26
23149096,Smolder on a Slow Burn,Westerns,Romance,284,Lynda J. Cox,4.25
13090481,Rocky Mountain Desire,Romance,Westerns,225,Vivian Arend,3.96
18492661,Cowboy Heat,Anthologies,Westerns,232,Delilah Devlin,3.81
25883365,Dangerous Ties,Westerns,Romance,105,Debra Parmley,4.18
23513988,Soul Seducer,Romance,Fantasy,258,Alicia Dean,3.59
10638304,In the dark ,Erotica,Romance,49,Jack Brighton,3.36
41153868,Honor Student,Adult-Fiction,Erotica,255,Teresa Mummert,3.71
16440926,Oh Claire!,Erotica,Adult-Fiction,216,Giulia Napoli,3.67
12979313,The Dom of My Dreams,Erotica,Adult-Fiction,279,M.F. Sinclair,3.84
18000594,His Black Pearl,Erotica,Dark,162,Jena Cryer,3.34
12070452,Tribute,Romance,Erotica,205,Lisa Henry,3.9
7314887,Sacred Revelations,Erotica,Adult-Fiction,330,Roxy Harte,3.78
582663,The Empress' New Clothes,Adult-Fiction,Science-Fiction,329,Jaid Black,3.85
17258881,Remastering Jerna,Erotica,Romance,290,Ann Somerville,3.75
34727443,Chase the Dark,Fantasy,Fantasy,320,Annette Marie,4.32
24753563,Wanderlust,Dark,Adult-Fiction,200,Skye Warren,3.88
4827407,What Worse Place Can I Beg in Your Love?,Erotica,Romance,38,Syd McGinley,3.79
9993763,Anchored,Romance,Erotica,124,Rachel Haimowitz,3.85
20495415,King Tomb,Fantasy,Paranormal,209,Scarlett Dawn,4.06
8164754,The Violet and the Tom,Romance,Erotica,295,Eve Ocotillo,3.77
8986467,Acquainted with the Night,Romance,Science-Fiction,227,Tymber Dalton,4.07
8074969,Doms of Dark Haven,Erotica,Adult-Fiction,349,Sierra Cartwright,4.06
36431876,Blood Oath,Fantasy,Fantasy,322,Raye Wagner,4.14
8727466,Why We Get Fat: And What to Do About It,Nonfiction,Health,272,Gary Taubes,4.05
9529956,Restricted,Mental-Health,Fiction,220,Jennifer Kinsel,3.49
28525728,To Command and Collar,Erotica,Adult-Fiction,341,Cherise Sinclair,4.25
2553575,Stalinin lehmt,Fiction,European-Literature,477,Sofi Oksanen,3.65
6006098,Feed Me!: Writers Dish About Food Eating Weight and Body Image,Nonfiction,Feminism,272,Harriet  Brown,3.94
284295,Thinner Than Thou,Fiction,Science-Fiction,336,Kit Reed,3.66
261905,Girls Under Pressure,Young-Adult,Childrens,205,Jacqueline Wilson,3.7
917693,Mercy Unbound,Young-Adult,Fiction,165,Kim Antieau,3.82
682911,A Dance of Sisters,Young-Adult,Fiction,288,Tracey Porter,3.61
20729499,Believarexic,Young-Adult,Realistic-Fiction,464,J.J.  Johnson,3.88
23400638,Snowy Days Steamy Nights: Come in from the Cold,Anthologies,Romance,450,Katy Regnery,4.08
23941351,Her Backup Boyfriend,Romance,Romance,285,Ashlee Mallory,3.99
15793579,Midlife Eating Disorders: Your Journey to Recovery,Health,Self-Help,352,Cynthia M. Bulik,3.48
21538378,An Island Christmas,Holiday,Romance,224,Nancy Thayer,3.75
39068,Perfect Girls Starving Daughters: The Frightening New Normalcy of Hating Your Body,Nonfiction,Feminism,352,Courtney E. Martin,3.79
17622920,A Seaside Christmas,Romance,Holiday,280,Sherryl Woods,4.05
6324589,Biting Anorexia: A Firsthand Account of an Internal War,Autobiography,Health,192,Lucy Howard-Taylor,3.78
20257070,Our First Christmas,Holiday,Romance,448,Lisa Jackson,3.96
20821531,Coming Home for Christmas: Christmas Angel\Unexpected Gift\Navy Joy,Holiday,Romance,304,Lindsay McKenna,3.99
29474,You Remind Me of You: A Poetry Memoir,Poetry,Autobiography,128,Eireann Corrigan,3.49
15800756,A Maverick for the Holidays,Romance,Category-Romance,224,Leanne Banks,3.75
22670812,Saving the Sheriff,Romance,Contemporary,110,Roxanne Snopek,3.9
16397876,Must Love Santa,Romance,Holiday,103,Nina Bruhns,3.89
22557401,Christmas Justice,Holiday,Romance,288,Robin Perini,4.17
353465,Hunger Point,Fiction,Womens-Fiction,384,Jillian Medoff,3.5
31704045,Dating Down,Romance,Young-Adult,217,Alex Dunn,3.96
489830,Skin,Young-Adult,Health,227,Adrienne Maria Vrettos,3.57
17609789,The Disappearing Girl,New-Adult,Romance,248,Heather Topham Wood,3.99
16150458,The Christmas Bargain,Holiday,Romance,296,Shanna Hatfield,4.23
18523601,Unwrapped,Romance,Contemporary,117,Maisey Yates,3.74
17694525,Please eat...: A mother's struggle to free her teenage son from anorexia,Nonfiction,Health,268,Bev Mattocks,4.44
6545199,After the Strawberry,Young-Adult,Mental-Health,520,Kathryn Pope,3.58
23570333,A Season To Remember,Holiday,Short-Stories,97,Elizabeth Ellen Carter,4.21
23643164,A Cowboy For Christmas,Romance,Holiday,71,Jennie Marts,4.04
23607782,The Reason for the Season,Mystery,Fiction,240,Judy Nichols,3.99
23637916,A Knight's Christmas Wish,Romance,Romance,98,Lana Williams,4.03
6515263,Goodbye Ed Hello Me: Recover from Your Eating Disorder and Fall in Love with Life,Self-Help,Nonfiction,214,Jenni Schaefer,4.05
17838614,The Remedy,Fantasy,Romance,390,Serena Chase,4.48
312518,Appetites: Why Women Want,Nonfiction,Autobiography,224,Caroline Knapp,4.03
21911602,Dr. Daddy's Perfect Christmas,Holiday,Romance,224,Jules Bennett,3.9
17998756,Fairchild's Lady,Historical,Christian-Fiction,63,Roseanna M. White,4.22
20527357,Captured by the Pirate Laird,Romance,Romance,376,Amy Jarecki,4.1
235870,Gaining: The Truth about Life After Eating Disorders,Nonfiction,Psychology,289,Aimee Liu,3.77
