book_id,book_title,genre_1,genre_2,pages,author_name,author_average_rating
18618969,That Fatal Kiss,Fantasy,Romance,282,Mina Lobo,3.93
6276214,Elfland,Fantasy,Fantasy,463,Freda Warrington,3.84
463024,The Wood Wife,Fantasy,Fantasy,320,Terri Windling,3.9
42768666,17,Horror,Short-Stories,255,????????? ????? ???????,4.08
38271712,A Place For Wolves,Young-Adult,Historical,320,Kosoko Jackson,4.43
768496,The Golden Gate,Poetry,Fiction,307,Vikram Seth,4.03
23256580,Unencumbered Love,Romance,Romance,276,Cliff Key,4.08
1166333,Sister Slam and the Poetic Motormouth Road Trip,Young-Adult,Poetry,256,Linda Oatman High,3.5
22890961,Bonded,Romance,Fantasy,139,Robin Moray,3.86
23250311,A Most Personal Property,Romance,Historical,460,Darrah Glass,3.99
643334,On Pointe,Poetry,Young-Adult,315,Lorie Ann Grover,3.54
21927701,Red Butterfly,Poetry,Childrens,400,A.L. Sonnichsen,4.1
454538,The Brimstone Journals,Poetry,Young-Adult,128,Ron Koertge,3.56
13530012,October Mourning: A Song for Matthew Shepard,Poetry,Young-Adult,111,Lesla Newman,3.98
29280247,Root Beer Candy and Other Miracles,Childrens,Poetry,240,Shari Green,4.27
17261129,Freakboy,Young-Adult,Lgbt,448,Kristin Elizabeth Clark,3.87
8828714,Karma,Young-Adult,Historical,528,Cathy Ostlere,3.85
72441,Bronx Masquerade,Young-Adult,Poetry,167,Nikki Grimes,3.95
25668014,Fagin's Boy,Romance,Historical,625,Christina E. Pilz,4.39
23363236,Beyond the Rift,Fantasy,Romance,260,Alana Ankh,3.56
8032544,You Are Not Here,Young-Adult,Romance,292,Samantha Schutz,3.79
23489172,This Charming Man,Romance,Contemporary,358,Ajax Bell,3.87
6820070,After the Kiss,Young-Adult,Romance,400,Terra Elan McVoy,3.46
21549148,Zodiac Lovers: Aquarius Pisces Aries,Romance,See-top-shelves,130,Lance Taubold,3.75
22835844,A Kiss Is Just a Kiss,Romance,Lgbt,160,Nicholas  Scott,3.55
3284192,Zorgamazoo,Fantasy,Poetry,281,Robert Paul Weston,3.78
22313181,The Witch Who Cried Wolf,Fantasy,Romance,65,Sarah Mkel,4.03
22917320,Decadent,Romance,Romance,216,Elaine  White,3.82
22841551,The Before Now and After Then,Young-Adult,Lgbt,304,Peter Monn,3.99
24443961,Beach Bum Billionaire Book Two,Romance,See-top-shelves,121,Jill Lang,3.72
24005710,GZG: The Zombie Gym #1 (Membership),Romance,Horror,88,Scotty Mullen,3.59
18664754,Claim,Romance,Romance,80,Serena Grey,3.85
1528538,Hugging the Rock,Young-Adult,Poetry,176,Susan Taylor Brown,4.13
19502988,Lost for You,Romance,New-Adult,304,B.J. Harvey,3.97
22096791,Light in Mourning,Romance,New-Adult,335,Adriane Leigh,3.83
255801,The Geography of Girlhood,Young-Adult,Poetry,192,Kirsten Smith,3.72
22071815,The Home for Wayward Ladies,Romance,Contemporary,250,Jeremy Scott Blaustein,3.4
18517591,Rumor Has It,New-Adult,Romance,365,Elisabeth Grace,3.95
29102841,Forget Me Not,Childrens,Poetry,336,Ellie Terry,4.29
16167867,Divorcees.Biz,Womens-Fiction,Romance,366,Eileen Thornton,3.83
34534844,Unhinged,Romance,See-top-shelves,186,Phoenyx Slaughter,3.97
17862129,Promise Me Light,Romance,New-Adult,375,Paige Weaver,4.11
18989148,Homecoming,Romance,War,92,Meredith Daniels,3.14
21878750,Men of the Cross,Historical,Romance,355,Charlene Newcomb,3.65
