book_id,book_title,genre_1,genre_2,pages,author_name,author_average_rating
10782928,Not Magic Enough,Fantasy,Romance,51,Valerie Douglas,3.77
10048874,Dearly Departed,Science-Fiction,Horror,470,Lia Habel,3.84
7857663,Bitter in the Mouth,Fiction,Contemporary,304,Monique Truong,3.53
39109499,Best of Luck,Romance,Romance,320,Kate Clayborn,4.05
10629679,Visible Friend,Romance,Fantasy,160,K.Z. Snow,3.76
42110093,Long Road Home,Contemporary,Romance,275,Stacey Lynn,3.99
17204899,The Devil's Kitchen,Science-Fiction,Fantasy,208,Alison DeLuca,4.14
12207595,Love Me,Horror,Fiction,168,Danger Slater,4.16
201642,In the Dark,Horror,Fiction,503,Richard Laymon,3.8
42740014,Lost King (The Kings Of Retribution MC Book 6),Romance,Contemporary,248,Sandy Alvarez,4.41
12605502,Dead Is the New Black,Mystery,Fiction,320,Christine DeMaio-Rice,3.43
39874057,Want Me Cowboy,Romance,Contemporary,217,Maisey Yates,3.74
32628,The Great and Secret Show,Horror,Fantasy,658,Clive Barker,4.09
39033,Still Life With Crows,Thriller,Mystery,564,Douglas Preston,4.0
9833965,Don't Kill the Birthday Girl: Tales from an Allergic Life,Autobiography,Nonfiction,229,Sandra Beasley,3.72
40623281,Preach.,Dark,Romance,272,Stylo Fantome,4.15
3864007,Mistress Shakespeare,Historical,Fiction,366,Karen Harper,3.8
41742052,Bryce,Romance,Contemporary,337,Lauren Runow,4.17
38649754,SEAL's Honor,Romance,Romance,352,Megan Crane,3.64
9435474,Equations of Life,Science-Fiction,Fiction,346,Simon Morden,3.9
8943906,The Uncoupling,Fiction,Literary-Fiction,271,Meg Wolitzer,3.51
41143305,Perfume Girl,Romance,Contemporary,328,Vanessa Fewings,4.29
7140917,Our Tragic Universe,Fiction,Contemporary,444,Scarlett Thomas,3.64
42291816,Maddox,Romance,See-top-shelves,194,Megan O'Brien,4.19
179734,Off Season,Horror,Fiction,308,Jack Ketchum,3.84
669100,Greybeard,Science-Fiction,Fiction,237,Brian W. Aldiss,3.88
41557322,Cherish,Dark,Romance,175,Olivia Ryann,4.23
591572,Jem,Science-Fiction,Fiction,364,Frederik Pohl,3.91
17233444,Final Colony Reloaded,Science-Fiction,Romance,552,Angelo Tsanatelis,4.03
42278964,Cold Cole Heart,Dark,Sociology,282,K.  Webster,4.12
11521295,Miracle on Regent Street,Womens-Fiction,Holiday,484,Ali Harris,3.89
41858472,Eggnog Makes Her Easy,Holiday,Romance,100,Erin Nicholas,4.14
6423044,The Space Between,Fiction,See-top-shelves,230,Erik Tomblin,3.75
104348,Raising the Stones,Science-Fiction,Fantasy,512,Sheri S. Tepper,3.95
41209130,Lines,Young-Adult,Romance,283,Anna B. Doe,3.93
65161,The Solitudes,Poetry,European-Literature,176,Luis de Gngora,3.98
352774,A Talent for War,Science-Fiction,Fiction,310,Jack McDevitt,3.81
2916542,Riding Temptation,Romance,Adult-Fiction,292,Jaci Burton,3.98
261625,The World Inside,Science-Fiction,Science-Fiction,233,Robert Silverberg,3.87
6540352,Alice I Have Been,Historical,Fantasy,345,Melanie Benjamin,3.77
13088405,In Rides Trouble,Romance,Romance,311,Julie Ann Walker,4.1
38894211,International Guy: London Berlin Washington DC,Romance,See-top-shelves,464,Audrey Carlan,4.07
373009,Biting the Sun,Fantasy,Science-Fiction,384,Tanith Lee,3.89
33783055,Before Girl,Romance,Romance,314,Kate Canterbary,4.24
462658,They Thirst,Horror,Paranormal,412,Robert R. McCammon,4.1
40175497,Do You Feel It Too?,Romance,Romance,332,Nicola Rendell,4.03
1133489,Soldier Ask Not,Science-Fiction,Fiction,224,Gordon R. Dickson,3.87
34468592,Bulldozer,Romance,Sports-and-Games,320,P. Dangelico,4.13
13122090,Tears of the Broken,Paranormal,Fantasy,466,Angela M. Hudson,4.26
311864,Heroes Die,Fantasy,Science-Fiction,545,Matthew Woodring Stover,4.02
11864686,Warmed and Bound: A Velvet Anthology,Short-Stories,Horror,408,Pela Via,4.19
13088324,Music City Murder,Adult,See-top-shelves,268,Matthew Dunn,4.39
41479329,My Life as a Mixtape,Romance,Young-Adult,400,L.J. Evans,4.56
249606,The Bridge ,Fiction,Fantasy,288,Iain Banks,3.79
939709,Rogue Moon,Science-Fiction,Fiction,188,Algis Budrys,3.74
6599576,Back in Black,Romance,Romance,281,Lori Foster,4.01
39727035,Until the Last Star Fades,Romance,Contemporary,483,Jacquelyn Middleton,3.77
9572203,The Snowman,Mystery,Mystery,383,Jo Nesb,3.93
