book_id,book_title,genre_1,genre_2,pages,author_name,author_average_rating
17619220,Pleasing Her Racy Doms,Erotica,Erotica,137,Tara  Rose,4.38
33586415,Born Wild,Romance,Romance,376,Julie Ann Walker,4.1
29911163,Dark and Stormy Knight,Romance,Romance,256,Nina Mason,4.07
28138673,Whispers,Romance,Fairies,412,Sophie H. Morgan,3.75
29339801,Demon Hunting With a Dixie Deb,Romance,Fantasy,354,Lexi George,3.8
23550747,Copper Veins,Romance,Fantasy,264,Jennifer Allis Provost,3.76
21816725,Pillars of Fire,Fantasy,Christian,368,Laurice Elehwany Molinari,4.26
16652754,Black Jade,Fantasy,Fantasy,544,Kylie Chan,4.09
31821224,AMYM: The Mamluk Who Defied Death,Fantasy,Historical,153,K.D. McQuain,4.0
27886325,Assassin's Kiss,Fantasy,Romance,302,Sharon Kay,4.16
28451478,Predator's Rescue,Romance,See-top-shelves,159,Rosanna Leo,3.96
28445324,Lion (Chasing Rescued Love),Unfinished,See-top-shelves,110,D.S. Sage,3.14
25430503,Shadow Touched,Fantasy,See-top-shelves,336,Erin Kellison,3.91
28496524,Boundary Born,Fantasy,Fantasy,290,Melissa F. Olson,4.06
27304321,Misery Happens,Fantasy,Paranormal,354,Tracey   Martin,3.76
26816011,Wolf on the Hunt,Fantasy,Paranormal,264,N.J. Walters,3.91
25391368,The Good the Bad and the Vampire,Fantasy,Romance,320,Sara  Humphreys,4.0
25821750,I Dream of Dragons,Romance,Romance,352,Ashlyn Chase,3.55
18244432,Camp Alien,Science-Fiction,Fantasy,598,Gini Koch,4.05
25716620,The Reburialists,Fantasy,Horror,416,J.C. Nelson,3.74
26109041,The Voodoo Killings,Fantasy,Fantasy,352,Kristi Charish,3.77
28869682,Chaos Rises,Fantasy,Fantasy,288,Pippa DaCosta,4.0
26138446,Her Fierce Warrior,Fantasy,Romance,320,Paige Tyler,3.99
26028986,Wickedly Ever After,Fantasy,Fantasy,66,Deborah Blake,3.95
18072615,Darkness Raging,Fantasy,Fantasy,276,Yasmine Galenorn,4.04
25387188,Of Flame and Promise,Fantasy,Fantasy,180,Cecy Robson,4.03
29559450,Blood Instinct,Romance,Fantasy,356,Lindsay J. Pryor,4.05
24872027,Shadowed Blade,Fantasy,Fantasy,292,J.C. Daniels,3.99
28240174,Through the Veil,Fantasy,Fantasy,447,Colleen Halverson,3.87
19045228,Here to Stay,Romance,Romance,244,Kristine Raymond,4.08
18251073,Matter of Resistance,Science-Fiction,See-top-shelves,318,Raymond Vogel,4.04
18295655,Unexpected Chance,Romance,New-Adult,218,Joanne Schwehm,4.01
36003629,Kitchen Promises,Romance,Romance,245,Brooke Cumberland,3.94
1943376,Elyza,Historical,Romance,247,Clare Darcy,3.71
22909644,Saving Grace,Romance,Historical,380,Michele Paige Holmes,3.99
16065168,Miss Delacourt Has Her Day,Historical,Romance,192,Heidi Ashworth,3.71
21479322,Shift Happens,Fantasy,Paranormal,315,J.C. McKenzie,4.1
222773,An Accomplished Woman,Historical,Romance,416,Jude Morgan,3.77
17800679,Broken Aro,Fantasy,Young-Adult,265,Jen Wylie,4.17
16059057,No Such Thing as Immortality,Romance,Paranormal,320,Sarah Tranter,3.77
15720675,Cold Wars,Young-Adult,See-top-shelves,221,Michael Panush,4.08
18908199,Artemisia: a Regency novel in the tradition of Jane Austen,Historical,Historical-Romance,300,D.G. Rampton,3.96
22571333,Brentwood's Ward,Historical,Christian-Fiction,314,Michelle Griep,4.03
23019243,Origins,Fantasy,Paranormal,247,Sean Hayden,4.13
