book_id,book_title,genre_1,genre_2,pages,author_name,author_average_rating
686717,Murder on St. Mark's Place,Mystery,Historical,277,Victoria Thompson,4.01
27833684,Tailored for Trouble,Romance,Contemporary,354,Mimi Jean Pamfiloff,4.0
64207,Sorcery & Cecelia: or The Enchanted Chocolate Pot,Fantasy,Young-Adult,326,Patricia C. Wrede,4.1
34804503,Stalk Me,Young-Adult,Romance,327,Jillian Dodd,4.16
266600,Kiss of the Vampire,Paranormal,Horror,278,Nancy Baker,3.78
544424,Leaving Paradise,Young-Adult,Romance,303,Simone Elkeles,4.08
15704459,Firefight,Fantasy,Young-Adult,416,Brandon Sanderson,4.39
5130,Island,Fiction,Classics,354,Aldous Huxley,3.99
20744130,Screwups,Romance,Academic,204,Jamie Fessenden,3.81
40983132,Tequila Mockingbird,Romance,Contemporary,250,Rhys Ford,4.15
17900911,Of Last Resort,Fantasy,Romance,235,Megan Derr,3.93
21399149,Wood Screws & Nails,Romance,Contemporary,166,Piper Vaughn,3.79
22052456,Beauty And The Bookworm,Romance,Romance,107,Nick Pageant,3.72
18742420,Bad Influence,Romance,Contemporary,295,K.A. Mitchell,3.78
22701480,The Understatement of the Year,Romance,New-Adult,300,Sarina Bowen,4.11
19292809,Payoff,Romance,Romance,47,L.A. Witt,3.81
20653710,Personal Secrets,Romance,Contemporary,285,K.C. Wells,3.93
20880073,Remnant: A Caldwell & Feximal/Whyborne & Griffin Mystery,Romance,Historical,51,K.J. Charles,4.15
18170925,Tough Love,Romance,Erotica,312,Heidi Cullinan,3.98
21887834,Stories Beneath Our Skin,Romance,Contemporary,210,Veronica Sloane,3.96
22735684,Beneath the Stain,Romance,Romance,350,Amy Lane,4.03
21880559,Fair Play,Romance,Mystery,199,Josh Lanyon,4.04
20927491,1/27: An ICoS Anthology,Romance,Science-Fiction,109,Ais,4.35
23202149,Bloodline,Romance,Historical,244,Jordan L. Hawk,4.21
22714908,Rack & Ruin,Romance,Fantasy,206,Charlie Cochet,4.18
20822778,Control,Romance,Fantasy,220,Mary Calmes,4.03
20652686,Something Like Spring,Romance,Lgbt,452,Jay Bell,4.18
20803627,Forget Me Not,Romance,Science-Fiction,171,Jordan Castillo Price,4.03
18240522,Offside Chance,Romance,Sports-and-Games,265,Mercy Celeste,3.86
22370569,The Mating of Michael,Romance,Disability,240,Eli Easton,3.98
