book_id,book_title,genre_1,genre_2,pages,author_name,author_average_rating
6438710,Crow Planet: Essential Wisdom from the Urban Wilderness,Nonfiction,Environment,229,Lyanda Lynn Haupt,3.87
3477698,Secrets to Happiness,Fiction,Womens-Fiction,277,Sarah Dunn,3.5
5556466,The Last Child,Mystery,Fiction,373,John Hart,4.03
2391128,The Seamstress,Historical,Fiction,656,Frances de Pontes Peebles,3.94
3359011,A Time to Tell,Fiction,Modern,304,Maria Savva,4.17
5356056,The Crying Tree,Fiction,Contemporary,353,Naseem Rakha,3.83
10444,Ballet Shoes,Childrens,Classics,184,Noel Streatfeild,4.02
13592074,The Feminist Porn Book: The Politics of Producing Pleasure,Feminism,Nonfiction,432,Tristan Taormino,4.03
18143974,The Blazing World,Fiction,Art,384,Siri Hustvedt,3.73
11041,Delta of Venus,Adult-Fiction,Fiction,271,Anas Nin,3.87
77810,The Days of Abandonment,Fiction,Cultural,188,Elena Ferrante,4.13
178796,The Good Women of China: Hidden Voices,Nonfiction,Cultural,256,Xinran,4.09
22618173,What We Buried,Poetry,Feminism,66,Caitlyn Siehl,3.97
409967,Feminine Gospels: Poems,Poetry,Feminism,67,Carol Ann Duffy,3.97
20613624,Unspeakable Things: Sex Lies and Revolution,Nonfiction,Feminism,267,Laurie Penny,3.9
25422234,Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Nonfiction,Biography,240,Irin Carmon,4.23
4914761,The Purity Myth: How America's Obsession with Virginity is Hurting Young Women,Feminism,Nonfiction,263,Jessica Valenti,3.87
25622271,The Birth of the Pill,Nonfiction,History,388,Jonathan Eig,4.12
23845789,Fight Like a Girl: 50 Feminists Who Changed the World,Feminism,Nonfiction,224,Laura Barcella,3.84
17412780,Princesses Behaving Badly: Real Stories from Historywithout the Fairy-Tale Endings,Nonfiction,History,303,Linda Rodrguez McRobbie,3.62
29534432,The Trouble With Women,Sequential-Art,Feminism,128,Jacky Fleming,4.24
505644,I Am Woman: A Native Perspective on Sociology and Feminism,Feminism,Nonfiction,146,Lee Maracle,4.08
22889766,Spinster: Making a Life of One's Own,Nonfiction,Autobiography,308,Kate Bolick,3.44
23513349,Milk and Honey,Poetry,Feminism,204,Rupi Kaur,4.15
15451058,My Life on the Road,Nonfiction,Feminism,276,Gloria Steinem,3.99
8031168,Delusions of Gender: How Our Minds Society and Neurosexism Create Difference,Feminism,Nonfiction,338,Cordelia Fine,4.04
27157815,Take It as a Compliment,Sequential-Art,Nonfiction,100,Maria Stoian,4.32
18144031,Redefining Realness: My Path to Womanhood Identity Love & So Much More,Nonfiction,Autobiography,263,Janet Mock,4.32
21251323,Everyday Sexism,Nonfiction,Feminism,384,Laura Bates,4.3
4541172,The Time Cavern,Science-Fiction,Young-Adult,164,Todd A. Fonseca,3.91
10111087,Turn Right at Machu Picchu: Rediscovering the Lost City One Step at a Time,Travel,Nonfiction,333,Mark    Adams,3.81
6609835,Remote Control,Science-Fiction,Young-Adult,320,Jack Heath,3.96
1894561,Colt on Christmas Eve,Animals,Childrens,142,Ben M. Baglio,3.82
10457746,King's Envoy,Fantasy,Fiction,360,Cas Peace,4.17
9948603,Shrouded Secrets,Fantasy,Fantasy,400,Joel T. McGrath,4.05
2684521,Wired,Fiction,Thriller,313,Martha R. Carr,4.41
10504222,Perpetual Night,Horror,See-top-shelves,96,Georgina Morales,3.98
329326,Observatory Mansions,Fiction,Gothic,368,Edward Carey,3.85
244261,The Street of Crocodiles,Fiction,Short-Stories,160,Bruno Schulz,4.14
33603229,Bloodborn,Young-Adult,Fantasy,312,Karen Kincy,3.67
8464957,All You Get Is Me,Young-Adult,Contemporary,279,Yvonne Prinz,3.6
944555,The Etched City,Fantasy,Fiction,382,K.J. Bishop,3.65
315736,The Circus of Dr. Lao,Fantasy,Fiction,154,Charles G. Finney,3.85
161037,Lanark,Fiction,Fantasy,576,Alasdair Gray,4.01
1064084,A Voyage to Arcturus,Science-Fiction,Fantasy,274,David  Lindsay,3.71
13624,The Worm Ouroboros,Fantasy,Fiction,446,E.R. Eddison,3.7
92581,The Chronicles of Master Li and Number Ten Ox,Fantasy,Fiction,652,Barry Hughart,4.24
11780476,The Depths Of The Darkness,Paranormal,Paranormal,256,Laurie Bowler,4.37
17877463,Determinism,Romance,New-Adult,212,L.K. Collins,4.02
6879538,Fight to the Finish,Young-Adult,Spy-Thriller,197,Shannon Greenland,3.91
872415,Death Run,Young-Adult,Spy-Thriller,253,Jack Higgins,3.94
8452309,Grey Wolves,Young-Adult,Fiction,464,Robert Muchamore,4.21
18169826,Guardian,Fantasy,Romance,326,Sara  Mack,4.2
12561863,A Girl Named Digit,Young-Adult,Romance,187,Annabel Monaghan,3.87
18400944,Holding onto You,New-Adult,Romance,183,S. Moose,3.93
18163459,Tease Me,War,Romance,107,Melissa Schroeder,3.97
18157093,Heaven Sent,New-Adult,Romance,148,Hilary Storm,4.16
8514027,Mission Unstoppable,Adventure,Mystery,287,Dan Gutman,4.09
11999940,Look Into My Eyes,Mystery,Childrens,390,Lauren Child,4.15
18074932,Learning to Live,New-Adult,Romance,294,R.D. Cole,4.14
4617762,Escape Velocity,Science-Fiction,Young-Adult,343,Mark Walden,4.21
912218,Jimmy Coates: Assassin?,Young-Adult,Adventure,218,Joe Craig,3.95
27971254,Second Nature,Romance,Romance,261,D.L. Roan,4.2
24229500,Love is...,Romance,Romance,188,Cassandra P. Lewis,3.99
40878012,They Call Me Alexandra Gastone,Young-Adult,Mystery,226,T.A. Maclagan,3.86
34377752,Inception,New-Adult,Romance,109,Ashley Suzanne,4.01
18213325,Together Forever,New-Adult,Romance,183,Vicki Green,3.99
19515047,Ditching the Dream,Romance,Erotica,380,Isabelle Peterson,4.34
3599149,Independence Hall,Mystery,Young-Adult,293,Roland Smith,4.08
20737063,My Today,Romance,Contemporary,207,H.J. Bellus,4.13
15814445,"      The Possibility Dogs: What a Handful of ""Unadoptables"" Taught Me About Service Hope and Healing",Nonfiction,Animals,260,Susannah Charleson,4.09
15721051,The Genius of Dogs: How Dogs Are Smarter than You Think,Nonfiction,Animals,384,Brian Hare,3.97
28191508,Monty and Me,Animals,Mystery,400,Louisa Bennet,4.27
26156408,The Underdogs,Nonfiction,Animals,352,Melissa Fay Greene,4.09
25452847,Strays,Young-Adult,Animals,232,Jennifer Caloyeras,4.15
125928,The Hidden Life of Dogs,Nonfiction,Animals,148,Elizabeth Marshall Thomas,3.82
18335916,My Life with Snoopy: How One Shelter Dog's Love Changed a Man's Life and Other Tails of Adventure,Animals,Nonfiction,216,Joey Camen,4.44
13037527,Dog Days,Romance,Fiction,344,Elsa Watson,3.71
40858,Himalaya,Travel,Nonfiction,288,Michael Palin,4.01
61043,Trieste and The Meaning of Nowhere,Travel,Nonfiction,208,Jan Morris,4.02
108854,Travels into the Interior of Africa,Travel,Cultural,384,Mungo Park,3.89
35069,Facing the Congo: A Modern-Day Journey into the Heart of Darkness,Cultural,Travel,288,Jeffrey Tayler,3.77
22488052,Displacement: A Travelogue,Sequential-Art,Autobiography,161,Lucy Knisley,3.87
852885,A Lady's Life in the Rocky Mountains,Nonfiction,Travel,282,Isabella L. Bird,3.9
25601911,Paul and Kiki's Guide to Vacationing In Italy: Making Your Tuscany Holiday a Treasured Memory (Full Color Edition),Travel,Cultural,104,Paul  Stuart,4.33
596778,The Way of the World,Travel,Nonfiction,309,Nicolas Bouvier,4.13
163921,Full Tilt: Ireland to India with a Bicycle,Travel,Nonfiction,256,Dervla Murphy,3.98
595069,Into Africa: The Epic Adventures of Stanley and Livingstone,History,Nonfiction,352,Martin Dugard,4.02
386402,The Lost Heart of Asia,Travel,Nonfiction,384,Colin Thubron,3.8
126077,"      Holidays in Hell: In Which Our Intrepid Reporter Travels to the World's Worst Places and Asks ""what's Funny about Thi",Travel,Nonfiction,272,P.J. O'Rourke,3.76
395112,Terra Incognita: Travels in Antarctica,Travel,Nonfiction,384,Sara Wheeler,3.75
126049,A Sense of the World: How a Blind Man Became History's Greatest Traveler,Biography,Travel,382,Jason Roberts,3.83
174354,Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe,History,Nonfiction,438,Laurence Bergreen,4.03
79,Coming Into the Country,Nonfiction,Travel,448,John McPhee,4.15
15731812,Extraordinary Dreams of an Ireland Traveler,Cultural,Travel,249,"Rosemary ""Mamie"" Adkins",4.55
108629,The Valleys of the Assassins: and Other Persian Travels,Travel,Nonfiction,320,Freya Stark,3.86
4370,Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam,Travel,Nonfiction,344,Andrew X. Pham,3.97
408147,Skeletons on the Zahara: A True Story of Survival,Nonfiction,History,351,Dean King,4.01
293207,Between the Woods and the Water,Travel,Nonfiction,280,Patrick Leigh Fermor,4.08
69807,Set in Darkness,Mystery,Mystery,448,Ian Rankin,3.95
124430,City of Djinns: A Year in Delhi,Cultural,Travel,352,William Dalrymple,4.07
4558426,First Comes Love then Comes Malaria: How a Peace Corps Poster Boy Won My Heart and a Third World Adventure Changed My Life,Travel,Nonfiction,320,Eve Brown-Waite,3.68
10662,The Ends of the Earth: A Journey to the Frontiers of Anarchy,Travel,Nonfiction,496,Robert D. Kaplan,3.86
459386,The Mermaids Singing,Mystery,Mystery,364,Val McDermid,3.92
76909,Last Bus to Woodstock,Mystery,Mystery,282,Colin Dexter,3.99
39092290,Lost Horizon,Fiction,Classics,241,James Hilton,3.93
6591144,A Yank Back to England: The Prodigal Tourist Returns,Travel,European-Literature,320,Denis Lipman,3.66
981824,Eleven Days,Mystery,Fiction,368,Donald Harstad,3.87
118141,A Short Walk in the Hindu Kush,Travel,Nonfiction,256,Eric Newby,3.94
825419,Arabian Sands,Travel,Nonfiction,347,Wilfred Thesiger,4.16
860183,The Road to Oxiana,Travel,Nonfiction,320,Robert Byron,3.91
21491,The Choirboys,Fiction,Mystery,368,Joseph Wambaugh,3.95
109901,The Cold Dish,Mystery,Fiction,354,Craig Johnson,4.22
63832,Blue Highways,Nonfiction,Travel,428,William Least Heat-Moon,3.98
44783,Monkeewrench,Mystery,Thriller,421,P.J. Tracy,4.01
764165,The Snow Leopard,Travel,Nonfiction,352,Peter Matthiessen,4.0
43663613,Becoming Human,Science-Fiction,Science-Fiction,358,Eliza Green,3.69
13611961,Eden,Fantasy,Apocalyptic,330,Matthew Plourde,3.89
40524829,The Two Towers,Science-Fiction,Science-Fiction,329,Jamie A. Waters,4.14
22691308,Wormwood,Fantasy,Paranormal,340,D.H. Nevins,4.03
25220487,Population,Science-Fiction,Science-Fiction,248,Elizabeth  Stephens,4.18
123200,The Black Stallion's Sulky Colt,Animals,Fiction,224,Walter Farley,4.13
294434,Silver Brumbies of the South,Childrens,Animals,240,Elyne Mitchell,4.21
15711397,The News in Small Towns,Mystery,Romance,346,Iza Moreau,4.2
1290383,The Blue Roan Child,Fantasy,Animals,253,Jamieson Findlay,3.96
1124458,San Domingo: The Medicine Hat Stallion,Animals,Childrens,224,Marguerite Henry,4.09
614603,Believe: A Horseman's Journey,Nonfiction,Animals,178,Buck Brannaman,4.35
857657,Another Kind of Cowboy,Young-Adult,Fiction,352,Susan Juby,3.65
8265098,Rescue Me,Animals,Animals,284,Toni Leland,3.97
2874914,A Horse of Her Own,Animals,Animals,288,Annie Wedekind,4.29
904965,After the Storm,Animals,Young-Adult,176,Lauren Brooke,4.11
420180,The Little White Horse,Fantasy,Classics,224,Elizabeth Goudge,4.12
339218,Riders,Womens-Fiction,Fiction,919,Jilly Cooper,3.92
795163,The Hearts of Horses,Historical,Fiction,289,Molly Gloss,3.89
36840304,Joey: How a Blind Rescue Horse Helped Others Learn to See,Nonfiction,Animals,288,Jennifer Bleakley,4.61
419409,Green Grass of Wyoming,Animals,Young-Adult,224,Mary O'Hara,4.16
1043542,Secretariat: The Making of a Champion,Nonfiction,Animals,384,William Nack,4.22
225774,National Velvet,Classics,Fiction,245,Enid Bagnold,4.09
15990452,Campus Sexploits 3: Naughty Tales of Wild Girls in College,Glbt,See-top-shelves,86,Angelica Dawson,4.16
13432295,Love's Crash Landing,Romance,Science-Fiction,207,Amylea Lyn,3.63
13512713,Deliver Us,Erotica,Romance,413,Lynn Kelling,3.92
39067463,Leather & Lace,Erotica,Romance,281,Samantha A. Cole,4.52
35506,The Language of God: A Scientist Presents Evidence for Belief,Science,Religion,294,Francis S. Collins,3.86
40985,I Don't Have Enough Faith to Be an Atheist,Christian,Religion,447,Norman L. Geisler,4.08
44361,Velvet Elvis: Repainting the Christian Faith,Christian,Nonfiction,194,Rob Bell,3.78
214333,The Case for a Creator: A Journalist Investigates Scientific Evidence That Points Toward God,Christian,Nonfiction,341,Lee Strobel,4.14
7552629,The Threadbare Heart,Fiction,Adult-Fiction,325,Jennie Nash,3.57
6022731,Cum Laude,Young-Adult,Fiction,272,Cecily von Ziegesar,3.62
820966,The Bondage of the Will,Religion,Christian,322,Martin Luther,4.11
20555962,God,Religion,Spirituality,140,Robert Woeger,4.46
56647,The Universe Next Door: A Basic Worldview Catalog,Philosophy,Christian,259,James W. Sire,4.07
5925969,Sophomore Switch,Young-Adult,Contemporary,304,Abby McDonald,3.85
20262957,A Young Man's Guide to Discovering His Bible,Christian,Religion,208,Jim George,4.14
7312874,Best Bet,Fiction,See-top-shelves,320,Laura Pedersen,3.63
7903511,Impulsive,Romance,Contemporary,320,HelenKay Dimon,3.78
16275465,Combat Ready,Christian,War,136,David Wolstenholm,4.23
20262901,A Young Woman's Guide to Discovering Her Bible,Christian,See-top-shelves,224,Elizabeth George,4.3
6891728,Rising Shadow,Young-Adult,Adult,332,Jacquelyn Wheeler,3.66
