book_id,book_title,genre_1,genre_2,pages,author_name,author_average_rating
6760764,Final Touch,Christian-Fiction,Young-Adult,224,Brandilyn Collins,4.08
1838917,Anayurt Oteli,Asian-Literature,Cultural,108,Yusuf At?lgan,4.19
7093555,?imizdeki ?eytan,Asian-Literature,Cultural,268,Sabahattin Ali,4.36
12971650,Narc,Young-Adult,Realistic-Fiction,275,Crissa-Jean Chappell,3.93
1188081,Raiders from the Sea,Historical,Christian,208,Lois Walfrid Johnson,4.19
7003187,Cnh ??ng B?t T?n,Fiction,Short-Stories,216,Nguy?n Ng?c T?,3.99
1249630,Os Maias,Classics,European-Literature,681,Ea de Queirs,3.9
333970,The Bark of the Bog Owl,Fantasy,Fiction,240,Jonathan Rogers,4.21
1753425,Without Warning,Glbt,Romance,223,K.G. MacGregor,3.96
13455513,Dark Star,Young-Adult,Fantasy,368,Bethany Frenette,3.88
18343754,A Capitalist in North Korea: My Seven Years in the Hermit Kingdom,Nonfiction,Cultural,320,Felix Abt,3.75
4110127,Christy and Todd: The College Years,Contemporary,Young-Adult,656,Robin Jones Gunn,4.3
17736248,The Blind Side of Love,Lgbt,Romance,559,Ingrid Daz,4.42
2490519,Watcher in the Woods,Fantasy,Young-Adult,292,Robert Liparulo,4.1
17984925,Visited,Fantasy,Young-Adult,216,Janine Caldwell,3.92
10925109,Cho Ti Xin M?t V ?i Tu?i Th?,Fiction,Childrens,220,Nguy?n Nh?t nh,3.94
110025,The Four Horsemen of the Apocalypse,Classics,Fiction,324,Vicente Blasco Ibez,3.8
17143,Go Tell It on the Mountain,Fiction,Classics,256,James Baldwin,4.26
1060439,The Rich Are Different,Fiction,Historical,658,Susan Howatch,4.07
25325662,Finding Angel,Fantasy,Young-Adult,294,Kat Heckenbach,4.2
1171469,The Palliser Novels: 6-Volume Set,Classics,Fiction,4894,Anthony Trollope,3.94
11517874,Winter,Christian,Fantasy,334,Keven Newsome,4.22
7249737,To Save a Life,Christian,Fiction,315,Jim Britts,4.29
75503,Roma,Historical,Fiction,576,Steven Saylor,3.92
