book_id,book_title,genre_1,genre_2,pages,author_name,author_average_rating
28107439,Music City Macabre,Fantasy,Horror,197,Bob  Williams,4.27
28820,The Varieties of Religious Experience: A Study in Human Nature,Philosophy,Religion,308,William James,4.01
30847240,Mostly Human,Shapeshifters,Young-Adult,397,D.I. Jolly,4.67
312650,The Individual and the Nature of Mass Events: A Seth Book,Spirituality,Nonfiction,336,Jane Roberts,4.32
16300211,Sean Yeager and the DNA Thief,Science-Fiction,Fantasy,260,D.M. Jarrett,4.33
81281,Demons of the Flesh: The Complete Guide to Left Hand Path Sex Magic,Occult,Fantasy,398,Nikolas Schreck,4.15
18223050,How to Rope a Real Man,Romance,Romance,352,Melissa Cutler,3.99
67377,The Love Poems of Rumi,Poetry,Spirituality,64,Rumi,4.36
40490167,Maus I: A Survivor's Tale: My Father Bleeds History,Sequential-Art,Sequential-Art,159,Art Spiegelman,4.38
43501985,Playing with Demons,Fantasy,See-top-shelves,240,Cally Edwards,4.89
11226469,Southern Comfort,Romance,Adult-Fiction,138,Mari Carr,4.0
39707352,Tempted by Trouble,Romance,Romance,192,Susan Arden,3.79
12363795,Living Violet,Young-Adult,Fantasy,304,Jaime Reed,3.97
6149,Beloved,Fiction,Classics,324,Toni Morrison,3.88
18753339,Soul Cutter,Young-Adult,Horror,300,Lexa Cain,4.26
23149096,Smolder on a Slow Burn,Westerns,Romance,284,Lynda J. Cox,4.25
13090481,Rocky Mountain Desire,Romance,Westerns,225,Vivian Arend,3.96
18492661,Cowboy Heat,Anthologies,Westerns,232,Delilah Devlin,3.81
25883365,Dangerous Ties,Westerns,Romance,105,Debra Parmley,4.18
23513988,Soul Seducer,Romance,Fantasy,258,Alicia Dean,3.59
10638304,In the dark ,Erotica,Romance,49,Jack Brighton,3.36
41153868,Honor Student,Adult-Fiction,Erotica,255,Teresa Mummert,3.71
16440926,Oh Claire!,Erotica,Adult-Fiction,216,Giulia Napoli,3.67
12979313,The Dom of My Dreams,Erotica,Adult-Fiction,279,M.F. Sinclair,3.84
18000594,His Black Pearl,Erotica,Dark,162,Jena Cryer,3.34
12070452,Tribute,Romance,Erotica,205,Lisa Henry,3.9
7314887,Sacred Revelations,Erotica,Adult-Fiction,330,Roxy Harte,3.78
582663,The Empress' New Clothes,Adult-Fiction,Science-Fiction,329,Jaid Black,3.85
