book_id,book_title,genre_1,genre_2,pages,author_name,author_average_rating
162331,Rites of Spring: The Great War and the Birth of the Modern Age,History,Nonfiction,396,Modris Eksteins,4.07
372853,To Serve Them All My Days,Fiction,Historical,638,R.F. Delderfield,4.15
192266,Firebird Trilogy,Science-Fiction,Christian,795,Kathy Tyers,3.65
54258,The Radetzky March,Fiction,Historical,384,Joseph Roth,3.89
877614,Gallipoli ,History,Nonfiction,416,Alan Moorehead,4.05
613792,The Zimmermann Telegram,History,Nonfiction,244,Barbara W. Tuchman,4.12
22551730,Dead Wake: The Last Crossing of the Lusitania,Nonfiction,History,430,Erik Larson,3.96
792161,War Horse,Historical,Fiction,165,Michael Morpurgo,4.07
216512,August 1914,Fiction,Historical,896,Aleksandr Solzhenitsyn,4.04
100834,A World Undone: The Story of the Great War 1914 to 1918,History,Nonfiction,704,G.J. Meyer,4.1
9315641,To End All Wars: A Story of Loyalty and Rebellion 1914-1918,History,Nonfiction,448,Adam Hochschild,4.15
7629,The Good Soldier vejk,Fiction,Classics,752,Jaroslav Haek,4.1
17834808,Sebastian,Historical,War,206,Christoph Fischer,3.98
20561916,Resistance,Fantasy,Christian,524,Jaye L. Knight,4.54
154472,The Great War and Modern Memory,History,Nonfiction,368,Paul Fussell,4.28
6273,The Collected Poems of Wilfred Owen,Poetry,War,192,Wilfred Owen,4.22
374388,Testament of Youth,Nonfiction,History,688,Vera Brittain,4.15
22662559,The Carnelian Legacy,Fantasy,Romance,320,Cheryl Koevoet,3.88
358154,Chickens to the Rescue,Childrens,Childrens,32,John Himmelman,3.99
11556479,The Duckling Gets a Cookie!?,Childrens,Childrens,40,Mo Willems,4.3
176626,King Bidgood's in the Bathtub,Childrens,Childrens,32,Audrey Wood,4.22
621739,Millions of Cats,Childrens,Childrens,32,Wanda Gg,4.07
2904907,Dinosaur vs. Bedtime,Childrens,Animals,40,Bob Shea,3.94
159061,Go Away Big Green Monster!,Childrens,Childrens,30,Ed Emberley,4.09
378164,Where Is the Green Sheep?,Childrens,Childrens,32,Mem Fox,4.12
886512,Jamberry,Childrens,Childrens,32,Bruce Degen,4.28
1297810,I Stink!,Childrens,Childrens,40,Kate McMullan,3.92
133547,Everyone Poops,Childrens,Childrens,27,Taro Gomi,4.02
205330,There Was an Old Lady Who Swallowed a Fly,Childrens,Childrens,32,Simms Taback,4.17
13602221,Goblinheart,Childrens,Lgbt,40,Brett Axel,4.41
857445,Officer Buckle and Gloria,Childrens,Childrens,40,Peggy Rathmann,4.19
1795615,The Pout-Pout Fish,Childrens,Childrens,32,Deborah Diesen,4.15
920780,Duck On A Bike,Childrens,Childrens,40,David Shannon,4.15
